RoomID,BranchID,RoomNumber,BedCount,Area,RoomType,RoomGender,Amenities
LVV01,N_LVV,1,8,25,KTX,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
LVV02,N_LVV,2,8,25,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có ban công"
LVV03,N_LVV,3,8,25,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
LVV04,N_LVV,4,8,25,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có ban công"
LVV05,N_LVV,5,,20,Phòng đơn,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, View xịn"
THT00,N_THT,0,4,10,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh"
THT01,N_THT,1,8,25,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có ban công"
THT02,N_THT,2,4,25,KTX,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có ban công"
THT03,N_THT,3,6,14,KTX,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
THT04,N_THT,4,6,20,KTX,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
THT05,N_THT,5,8,25,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
THT06,N_THT,6,6,20,KTX,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
THT07,N_THT,7,4,12,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, View xịn"
LHP00,N_LHP,1,,20,MB,,Cho thuê mặt bằng buôn bán
LHP01,N_LHP,2,4,12,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
LHP02,N_LHP,3,,8,Phòng đơn,,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
LHP03,N_LHP,4,4,12,KTX,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có ban công"
LHP04,N_LHP,5,4,12,KTX,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
LHP05,N_LHP,6,4,12,KTX,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có cửa sổ"
LHP06,N_LHP,7,4,12,KTX,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, Có ban công"
LHP07,N_LHP,8,4,12,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, View xịn"
LHP08,N_LHP,9,4,12,KTX,Nam,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh, View xịn"
CXDT01,N_CXĐT,1,,10,Phòng đơn,,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung"
CXDT02,N_CXĐT,2,6,20,KTX,Nam,"Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh"
CXDT03,N_CXĐT,3,,30,Phòng đơn,,"Wifi, Giặt, Sấy, Bếp, Chống cháy, Máy lạnh, Tủ lạnh, Có cửa sổ, Có ban công"
CXDT04,N_CXĐT,4,4,30,Dorm cao cấp,Nữ,"Gửi xe,Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh,Có ban công"
CXDT05,N_CXĐT,5,8,30,KTX,Nữ,"Wifi,Giặt , Sấy,Tủ lạnh, Nước uống,Bếp chung, Máy lạnh"
KHEMB,N_KHE,1,,25,Phòng đơn,,"Gửi xe,Wifi,Tủ lạnh, Bếp chung, Máy lạnh"
KHE01,N_KHE,2,,12,Phòng đơn,,"Wifi, Bếp Chung, Máy Lạnh, Có cửa sổ"
KHE02,N_KHE,3,,15,Phòng đơn,,"Wifi, Bếp Chung, Máy Lạnh, Có cửa sổ"
KHE03,N_KHE,4,,15,Phòng đơn,,"Wifi, Bếp Chung, Máy Lạnh, Có cửa sổ"
KHE04,N_KHE,5,,15,Phòng đơn,,"Wifi, Bếp Chung, Máy Lạnh, Có cửa sổ"
KHE05,N_KHE,6,,15,Phòng đơn,,"Wifi, Bếp Chung, Máy Lạnh, Có cửa sổ"
KHE06,N_KHE,7,,30,Phòng đơn,,"Wifi, Bếp Chung, Máy Lạnh, View xịn"
KHE07,N_KHE,8,4,10,KTX,Nam,"Wifi, Bếp Chung, Máy Lạnh,Có ban công"
KHE08,N_KHE,9,,10,Phòng đơn,,"Wifi,Tủ lạnh,Bếp chung, Máy lạnh, Có ban công"
